X,Y,SRTM_UTM_z,
549920,6491500,864.00000
549910,6491500,864.00000
549890,6491600,867.00000
549880,6491700,871.00000
549860,6491800,873.00000
549850,6491800,873.00000
549830,6491900,876.00000
549820,6492000,877.00000
549810,6492100,879.00000
549800,6492100,879.00000
549790,6492200,882.00000
549780,6492300,884.00000
549770,6492400,888.00000
549760,6492400,888.00000
549740,6492500,888.00000
549730,6492600,890.00000
549720,6492700,892.00000
549700,6492700,892.00000
549690,6492800,894.00000
549670,6492900,897.00000
549660,6493000,900.00000
549640,6493000,900.00000
549620,6493100,904.00000
549600,6493200,906.00000
549590,6493300,911.00000
549570,6493300,911.00000
549550,6493400,914.00000
549530,6493500,917.00000
549510,6493600,921.00000
549490,6493600,921.00000
549480,6493700,925.00000
549460,6493800,928.00000
549440,6493900,931.00000
549420,6493900,931.00000
549400,6494000,933.00000
549390,6494100,936.00000
549370,6494200,937.00000
549350,6494200,937.00000
549330,6494300,939.00000
549310,6494400,941.00000
549290,6494500,943.00000
549270,6494500,942.00000
549240,6494600,944.00000
549220,6494700,947.00000
549200,6494800,948.00000
549170,6494800,948.00000
549140,6494900,949.00000
549110,6495000,952.00000
549080,6495100,955.00000
549040,6495100,955.00000
549010,6495200,958.00000
548970,6495300,962.00000
548930,6495400,966.00000
548890,6495400,966.00000
548840,6495500,969.00000
548790,6495600,973.00000
548740,6495700,975.00000
548680,6495700,976.00000
548620,6495800,978.00000
548560,6495900,981.00000
548490,6496000,984.00000
548410,6496000,983.00000
548340,6496100,984.00000
548260,6496100,984.00000
548190,6496200,984.00000
548110,6496300,984.00000
548040,6496300,983.00000
547960,6496300,984.00000
547890,6496400,984.00000
547810,6496400,985.00000
547740,6496500,988.00000
547660,6496500,992.00000
547590,6496500,995.00000
547510,6496600,1002.00000
547440,6496600,1008.00000
547360,6496700,1014.00000
547290,6496700,1018.00000
547210,6496700,1020.00000
547140,6496800,1026.00000
547060,6496800,1029.00000
546990,6496900,1033.00000
546910,6497000,1040.00000
546840,6497000,1042.00000
546760,6497100,1048.00000
546690,6497200,1051.00000
546610,6497200,1051.00000
546540,6497300,1055.00000
546460,6497400,1056.00000
546390,6497400,1056.00000
546320,6497500,1058.00000
546250,6497600,1062.00000
546190,6497700,1062.00000
546110,6497700,1063.00000
546040,6497800,1065.00000
545970,6497900,1068.00000
545900,6498000,1071.00000
545820,6498000,1071.00000
545750,6498100,1074.00000
545680,6498200,1076.00000
545600,6498300,1080.00000
545530,6498300,1080.00000
545450,6498400,1081.00000
545380,6498500,1085.00000
545300,6498500,1086.00000
545230,6498600,1090.00000
545150,6498700,1093.00000
545080,6498700,1094.00000
545000,6498800,1097.00000
544930,6498800,1097.00000
544850,6498900,1101.00000
544780,6498900,1102.00000
544700,6499000,1104.00000
544630,6499000,1106.00000
544550,6499100,1109.00000
544480,6499200,1111.00000
544400,6499200,1113.00000
544330,6499300,1115.00000
544250,6499300,1115.00000
544180,6499300,1116.00000
544100,6499400,1120.00000
544030,6499400,1121.00000
543950,6499500,1121.00000
543880,6499500,1123.00000
543800,6499600,1125.00000
543730,6499600,1127.00000
543650,6499700,1129.00000
