28,553497.892,6485661.139,662.284
29,553120.613,6485990.695,679.153
30,552713.590,6486279.751,693.242
31,552287.569,6486542.070,707.800
32,551895.686,6486848.963,723.817
33,551513.423,6487169.411,742.495
34,551166.905,6487534.761,760.034
35,550876.568,6487940.088,772.400
36,550666.360,6488393.674,781.101
37,550461.229,6488849.169,788.029
38,550284.007,6489315.817,798.788
39,550104.577,6489782.336,816.263
40,549974.717,6490266.052,833.743
41,549905.453,6490762.620,844.092
42,549876.007,6491263.671,857.174
43,549838.448,6491763.237,873.492
44,549779.432,6492257.411,886.309
45,549691.018,6492749.582,895.978
46,549587.309,6493239.050,910.563
47,549460.010,6493723.328,928.088
48,549290.538,6494194.152,939.552
49,549027.318,6494628.271,946.042
50,548698.336,6495001.012,958.725
51,548321.068,6495327.321,976.921
52,547935.773,6495647.376,992.476
53,547739.504,6495807.430,998.829
54,547351.899,6496123.766,1010.795
55,546960.290,6496436.180,1025.500
56,546578.298,6496762.516,1038.476
57,546200.494,6497092.169,1048.606
58,545820.737,6497417.451,1059.902
59,545441.238,6497745.189,1073.581
60,545082.270,6498093.511,1086.151
61,544734.329,6498449.646,1099.735
62,544389.056,6498809.254,1113.103
63,544056.485,6499182.872,1122.959
64,543741.388,6499567.901,1129.312
65,543424.415,6499955.334,1137.076
66,543118.958,6500354.928,1147.203
67,542831.979,6500765.203,1160.508
68,542578.989,6501196.489,1178.519
69,542326.120,6501564.564,1195.678
70,542113.970,6502020.850,1207.816
71,541976.765,6502499.178,1215.474
72,541925.807,6502994.145,1220.277
73,541908.457,6503493.609,1224.887
74,541952.472,6503992.469,1235.874
75,542050.417,6504480.810,1257.241
76,542263.276,6504931.568,1275.352
77,542548.979,6505340.732,1293.550
78,542825.584,6505752.648,1309.638
79,543076.027,6506188.452,1318.924
80,543316.202,6506627.792,1329.380
81,543552.428,6507067.541,1344.231
82,543791.452,6507507.165,1357.047
83,544033.990,6507944.335,1365.444
84,544286.472,6508374.986,1373.211
85,544550.458,6508799.391,1385.195
86,544829.169,6509213.925,1398.384
87,545125.124,6509615.925,1409.011
88,545429.639,6510011.030,1424.464
89,545732.450,6510410.535,1441.496
90,546024.106,6510816.341,1455.496
91,546305.388,6511227.971,1466.238
92,546561.143,6511654.199,1475.897
93,546773.775,6512104.899,1488.505
94,546915.811,6512581.553,1501.638
95,547018.199,6513069.415,1513.796
96,547017.458,6513564.844,1522.113
97,546920.613,6514050.637,1535.938
98,546751.246,6514520.000,1548.121
99,546678.971,6515013.860,1578.347
100,546664.983,6515510.741,1620.731
101,546673.025,6516005.793,1643.082
102,546699.243,6516503.263,1656.658
103,546744.019,6516999.126,1682.567
104,546793.425,6517496.531,1705.475
105,546846.757,6517994.369,1723.105
106,546934.635,6518486.168,1738.342
107,547022.301,6518977.996,1752.818
108,547126.364,6519465.899,1765.927
109,547267.037,6519943.675,1777.832
110,547407.735,6520421.927,1791.592
111,547555.320,6520899.444,1805.417
112,547718.376,6521371.592,1818.818
113,547881.072,6521842.936,1829.135
114,548044.330,6522314.506,1839.200
115,548213.604,6522781.997,1848.503
116,548417.554,6523238.166,1857.504
117,548621.481,6523693.461,1864.320
